Group,Intercept,Slope,n_antarctic,n_california,n_etp,n_peru
Large gulls,3.255189,-0.06581,88,6 335,0,0
Small gulls,2.854298,-0.06572,0,393,0,55
Skuas,3.03459,-0.06148,216,480,305,302
Phalaropes,-0.50362,-0.05618,0,1 129,144,158
Oceanites,-3.47945,-0.04602,734,0,0,741
Medium-sized gulls,3.236653,-0.0427,0,2 126,0,213
Cormorants,-0.07102,-0.03735,0,959,0,27
Frigate petrels,-3.01924,-0.03717,309,0,21,804
Oceanodroma,-4.67778,-0.03021,0,3 279,6470,3 588
Tropicbirds,5.115913,-0.01523,0,0,28,0
Small alcids,-3.73632,-0.01516,206,1 125,0,0
Frigatebird,7.795711,-0.00994,0,0,0,30
Small albatrosses,0.052342,-0.00796,153,1 109,0,225
Large gadfly petrels,-1.43934,-0.00711,164,0,4 299,1 163
Medium-sized alcids,-2.53977,-0.00168,0,595,0,0
Prions,-1.0231,-0.00121,3 046,0,0,78
Manx-type shearwaters,-4.07447,0.000922,35,113,386,71
Pelicans,2.038491,0.00166,0,334,0,325
Loon grebe,1.029396,0.007822,0,254,0,0
Giant petrels,-0.96771,0.018279,99,0,0,0
Small gadfly petrels,-0.176,0.018574,3 748,137,3 647,884
Surface-feeding shearwaters,-1.18405,0.036555,345,1 673,2 350,566
Boobies,2.240037,0.040926,0,0,329,1 136
Fulmars,-1.02046,0.060311,1 278,1 633,0,139
Large alcids,-2.03463,0.087591,0,5 933,0,0
Terns,2.119291,0.09448,490,211,1 802,151
Diving shearwaters,-1.27113,0.142368,2 728,10 991,886,543